"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)"
2026-03-10,2026-03-16,"F3 -  [V30- V39] Advantage+ Campanha",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[F2] - CLONES - V95_T197 >>>",inactive,,,0,0,,150,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[F2] - CLONES - V55_T197",inactive,,,0,0,,150,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[F2] - CLONES - V49_T197",inactive,,,0,0,,200,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[07/08/25] [MDA] [F] [AUTO] [VENDAS] [F1] [1] [ESCALA H] [AD87]",inactive,,,0,0,,350,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[26/09/25] [MDA] [F] [AUTO] [VENDAS] [F3] [2] [TESTE DE CRIATIVOS] [VSL B]",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[06/10/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING]",inactive,,,0,0,,2966,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[17/10/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [NOVO PIXEL] [4]",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[29/10/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL B] [TESTE DE BOTÃO] [3]",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[29/10/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL B] [TESTE DE TICKET] [3]",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[11/11/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL C] [R$ 397,00] [1]",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
